Controlled Substances Schedule IV,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Paraldehyde (2585),Flurazepam (2767) Effective 7/2/1975,Flurazepam (2767),Flurazepam (2767),Ethinamate (2545),Ethinamate (2545),Ethchlorvynol (2540),Diazepam (2765),Diazepam (2765),Diazepam (2765),Clobazam (2751) Effective 11/5/1984,Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Clobazam (2751),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chloral hydrate (2465),Chloral betaine (2460)
,Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Petrichloral (2591),Mebutamate (2800),Mebutamate (2800),Lorazepan (2885) Effective 10/3/1977,Flurazepam (2767),Flurazepam (2767),Ethinamate (2545),Ethchlorvynol (2540),Ethchlorvynol (2540),Ethchlorvynol (2540),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Clobazam (2751),Clobazam (2751),Chlordiazepoxide (2744),Chloral hydrate (2465)
,,,,,Fenfluramine (1670) Effective 6/15/1973,Phenobarbital (2285),Meprobamate (2820),Meprobamate (2820),Mebutamate (2800),Lorazepam (2885),Lorazepam (2885),Flurazepam (2767),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Clonazepam (2737),Clonazepam (2737),Clobazam (2751),Chlordiazepoxide (2744)
,,,,,Diethylproplon (1610) Effective 7/6/1973,Fenfluramine (1670),Methohexital (2264),Methohexital (2264),Meprobamate (2820),Mebutamate (2800),Mebutamate (2800),Lorazepam (2885),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Clotiazepam (2752) Effective 11/5/1984,Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clotiazepam (2752),Clorazepate (2768),Clorazepate (2768),Clonazepam (2737),Clobazam (2751)
,,,,,Phentermine (1640) Effective 7/6/1973,Diethylproplon (1610),Methylphenobarbital (2250),Methylphenobarbital (mephobarbitol) (2250),Methohexital (2264),Meprobamate (2820),Meprobamate (2820),Mebutamate (2800),Halazepam(2762) Effective 10/29/1981,Halazepam(2762),Halazepam(2762),Cloxazolam (2753) Effective 11/5/1984,Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Cloxazolam (2753),Clotiazepam (2752),Clotiazepam (2752),Clorazepate (2768),Clonazepam (2737)
,,,,,,Phentermine (1640),Oxazepam (2835) Effective 7/2/1975,Oxazepam (2835),Methylphenobarbital (mephobarbitol) (2250),Methohexital (2264),Methohexital (2264),Meprobamate (2820),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Delorazepam (2754) Effective 11/5/1984,Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Delorazepam (2754),Cloxazolam (2753),Cloxazolam (2753),Clotiazepam (2752),Clorazepate (2768)
,,,,,,Pemoline (including organometallic complexes and chelates thereof) (1530) Effective 1/28/1975,Paraldehyde (2585),Paraldehyde (2585),Oxazepam (2835),Methylphenobarbital (mephobarbitol) (2250),Methylphenobarbital (mephobarbitol) (2250),Methohexital (2264),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Diazepam (2765),Delorazepam (2754),Delorazepam (2754),Cloxazolam (2753),Clotiazepam (2752)
,,,,,,,Petrichloral (2591),Petrichloral (2591),Paraldehyde (2585),Oxazepam (2835),Oxazepam (2835),Methylphenobarbital (mephobarbitol) (2250),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Estazolam (2756) Effective 11/5/1984,Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Dichloralphenazone (2467),Dichloralphenazone (2467),Dichloralphenazone (2467),Dichloralphenazone (2467),Dichloralphenazone (2467),Dichloralphenazone (2467),Dichloralphenazone (2467),Dichloralphenazone (2467),Dichloralphenazone (2467),Dichloralphenazone (2467),Diazepam (2765),Diazepam (2765),Delorazepam (2754),Cloxazolam (2753)
,,,,,,,Phenobarbital (2285),Phenobarbital (2285),Petrichloral (2591),Paraldehyde (2585),Paraldehyde (2585),Oxazepam (2835),Methohexital (2264),Methohexital (2264),Methohexital (2264),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Estazolam (2756),Dichloralphenazone (2467),Dichloralphenazone (2467),Diazepam (2765),Delorazepam (2754)
,,,,,,,Fenfluramine (1670),Prazepam (2764) Effective 12/17/1976,Phenobarbital (2285),Petrichloral (2591),Petrichloral (2591),Paraldehyde (2585),Methylphenobarbital (mephobarbitol) (2250),Methylphenobarbital (mephobarbitol) (2250),Methylphenobarbital (mephobarbitol) (2250),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Ethchlorvynol (254),Estazolam (2756),Estazolam (2756),Dichloralphenazone (2467),Diazepam (2765)
,,,,,,,Diethylproplon (1608),Fenfluramine (1670),Prazepam (2764),Phenobarbital (2285),Phenobarbital (2285),Petrichloral (2591),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Ethyl loflazepate (2758) Effective 11/5/1984,Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethchlorvynol (254),Ethchlorvynol (254),Estazolam (2756),Dichloralphenazone (2467)
