Controlled Substances Schedule I,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
41,Racemoramide 9645,Racemoramide 9645,"Propiram (doesn't appear in CFR until 1973) (February 28, 1972) 9649",Propiram 9649,Propiram 9649,Propiram 9649,Properidine 9644,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Properidine 9644,Properidine 9644,Properidine 9644,Proheptazine 9643,Proheptazine 9643,Phenoperidine 9641,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636,Norpipanone 9636
42,Trimeperidine 9646,Trimeperidine 9646,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Propiram 9649,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Propiram 9649,Propiram 9649,Propiram 9649,Properidine 9644,Properidine 9644,Piritramide 9642,"Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) (March 10, 1986) 9812",Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812,Para-fluorofentanyl (N-(4-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl] propanamide) 9812
43,,,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Racemoramide 9645,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,"Sufentanil (December 1, 1980) 9740",Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Propiram 9649,Propiram 9649,Proheptazine 9643,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663,PEPAP (1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine 9663
44,,,,,,,Trimeperidine 9646,,,,,"Tilidine (December 1, 1980) 9750",Sufentanil 9740,Sufentanil 9740,"Sufentanil (moved to Schedule II May 25, 1984) 9740",Racemoramide 9645,Racemoramide 9645,Properidine 9644,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637,Phenadoxone 9637
45,,,,,,,,,,,,Trimeperidine 9646,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Propiram 9649,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638,Phenampromide 9638
46,,,,,,,,,,,,,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Racemoramide 9645,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647,Phenomorphan 9647
47,,,,,,,,,,,,,,,,,,Tilidine 9750,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641,Phenoperidine 9641
48,,,,,,,,,,,,,,,,,,Trimeperidine 9646,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642,Piritramide 9642
49,,,,,,,,,,,,,,,,,,,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643,Proheptazine 9643
50,,,,,,,,,,,,,,,,,,,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644,Properidine 9644
51,,,,,,,,,,,,,,,,,,,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649,Propiram 9649
52,,,,,,,,,,,,,,,,,,,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645,Racemoramide 9645
53,,,,,,,,,,,,,,,,,,,"Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) (November 29, 1985) 9835",Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835,Thiofentanyl( N-phenyl-N-[1-(2-thienyl)ethyl-4-piperidinyl] propanamide) 9835
54,,,,,,,,,,,,,,,,,,,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750,Tilidine 9750
55,,,,,,,,,,,,,,,,,,,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646,Trimeperidine 9646
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(c) Opium Derivatives,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319,Acetorphine 9319
2,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine 9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051,Acetyldihydrocodeine9051
3,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052,Benzylmorphine 9052
4,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070,Codeine methylbromide 9070
5,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053,Codeine-N-Oxide 9053
6,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054,Cyprenorphine9054
7,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055,Desomorphine 9055
8,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145,Dihydromorphine 9145
9,Etorphine 9056,Etorphine 9056,Etorphine 9056,Etorphine 9056,"Etorphine (except hydrochloride salt)(exception effective April 19, 1974; moved to Schedule II) 9056",Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335,Drotebanol 9335
